no,year_province_district,province_district,province,district,size_liras,size_dollars,houses,category,year,month,completion,project_name,firm
8,2004_kars_merkez,kars_merkez,kars,merkez,7489848,5523066.344,224,kentsel_donusum,2004,12,%100,kars merkez yenimahalle 1 bolge,orma Uluslararasi inssanVe Ticas
57,2004_kars_sarikamis,kars_sarikamis,kars,sarikamis,9990000,7366695.93,256,idare_konut,2004,4,%100,kars sarikamis yenimahalle,sar_bay insTurmadsanTicLtdsti
87,2004_kastamonu_merkez,kastamonu_merkez,kastamonu,merkez,9346500,6892174.526,288,idare_konut,2004,12,%100,kastamonu merkez saraclar mah  kuzeykent 1 bolge,dilek ins Ve Tic as
69,2004_kayseri_pinarbasi,kayseri_pinarbasi,kayseri,pinarbasi,6777000,4997407.239,192,idare_konut,2004,,%100,kayseri pinarbasi hurriyet,erkut insyapi endsanTicas
83,2004_kirikkale_bahsili,kirikkale_bahsili,kirikkale,bahsili,5800000,4276960.6,176,idare_konut,2004,11,%100,kirikkale bahsili 1 bolge,ib_ak ins Ltd Taah ith ihr Tic san Ltd sti &amp; Tas ins TurLtd sti is ortakligi
55,2004_kirikkale_baliseyh,kirikkale_baliseyh,kirikkale,baliseyh,0,0,144,idare_konut,2004,3,%100,kirikkale baliseyh,yavuzlar insaat sanTicLtdsti
54,2004_kirikkale_keskin,kirikkale_keskin,kirikkale,keskin,0,0,192,idare_konut,2004,3,%100,kirikkale keskin yenice,yavuzlar insaat sanTicLtdsti
53,2004_kirikkale_yahsihan,kirikkale_yahsihan,kirikkale,yahsihan,19980000,14733391.86,380,idare_konut,2004,3,%100,kirikkale yahsihan,yavuzlar insaat sanTicLtdsti
85,2004_kirsehir_kaman,kirsehir_kaman,kirsehir,kaman,11850000,8738272.95,320,idare_konut,2004,11,%100,kirsehir kaman konut + sosyal donati (Ticaret merkezi),oz_den Taahins sanendTicLtdsti
52,2004_kocaeli_merkez,kocaeli_merkez,kocaeli,merkez,18690000,13782136.83,682,idare_konut,2004,3,%100,kocaeli bekirpasa deretepe,cagdan muhmutsanVe Ticas
71,2004_konya_aksehir,konya_aksehir,konya,aksehir,6273000,4625754.111,192,idare_konut,2004,,%100,konya aksehir kurucay,dio dan ins org Taahmuh san Ve Tic Ltd sti
9,2004_konya_eregli,konya_eregli,konya,eregli,15650000,11540419.55,400,konut_sosyal_donati,2004,10,%100,konya eregli yellice 400 konut + sosyal donati (ticaret merkezi. saglik ocagi. mescit),ozekip inssanVe Tic Ltd sti &amp; hedef ins Tic Ve san Ltd sti is ortakligi
68,2004_konya_karapinar,konya_karapinar,konya,karapinar,10583000,7803978.281,336,idare_konut,2004,7,%100,konya karapinar sandikli+ticaret merkezi,guryapi Taah insTur Tic Ltdsti
2,2004_konya_selcuklu,konya_selcuklu,konya,selcuklu,28195000,20791190.37,736,alt_gelir,2004,12,%100,konya merkez selcuklu 3 bolge + sosyal donati (ilkogretim(24). lise. ticaret. kres. cami. saglik ocagi. acik kapali spor salonlari),kuzu Toplu konut insaat Ltd sti
77,2004_konya_selcuklu,konya_selcuklu,konya,selcuklu,8695000,6411753.865,320,idare_konut,2004,10,%100,konya merkez selcuklu 1 bolge,seha insmuhmad TursanVe Ticas
80,2004_kutahya_Tavsanli,kutahya_Tavsanli,kutahya,Tavsanli,6325837,4664716.485,192,idare_konut,2004,10,%100,kutahya Tavsanli,mab ins Ve san Ltd sti
70,2004_malatya_akcadag,malatya_akcadag,malatya,akcadag,6984000,5150050.488,208,idare_konut,2004,,%100,malatya akcadag,mas ithl ins san Ve Tic Ltd sti
64,2004_malatya_battalgazi,malatya_battalgazi,malatya,battalgazi,24400000,17992730.8,852,idare_konut,2004,4,%100,malatya beydagi yaprakli 1 bolge,2001 yapi elemanlari sanVe Ticas
452,2004_mardin_merkez,mardin_merkez,mardin,merkez,9333000,6882219.531,240,idare_konut,2004,12,%97,mardin merkez nur mah 1 etap,areksan ins san Ltd sti
49,2004_nevsehir_merkez,nevsehir_merkez,nevsehir,merkez,14105000,10401125.74,504,idare_konut,2004,2,%100,nevsehir merkez yeniucuncu,erdinc insaat TaahTicVe sanLtdsti
91,2004_nevsehir_merkez,nevsehir_merkez,nevsehir,merkez,9950000,7337199.65,272,idare_konut,2004,12,%100,nevsehir merkez yeniucuncu 2 etap,mbd inssanTurmuhVe TicLtdsti
66,2004_nigde_bor,nigde_bor,nigde,bor,14822400,10930141.52,512,idare_konut,2004,5,%100,nigde bor 1 bolge,yavuzlar nakTurinsTekssanVe Ticas
8,2004_osmaniye_duzici,osmaniye_duzici,osmaniye,duzici,7635000,5630102.445,192,konut_sosyal_donati,2004,10,%100,osmaniye duzici haruniye konut + sosyal donati (camii. sadirvan. carsi. kafeterya),guc_ar ins san Tic as
88,2004_Rize_pazar,Rize_pazar,Rize,pazar,47366000,34928019.96,168,idare_konut,2004,12,%100,Rize pazar kocakopru,kalyon imar end Turz Ve Tic Ltd sti
48,2004_samsun_merkez,samsun_merkez,samsun,merkez,11776000,8683704.832,348,idare_konut,2004,1,%100,samsun merkez  cobanli atakent 2 etap +  ticaret merkezi,sec yapi ins enj Tur Ve Tic Ltd sti
78,2004_samsun_merkez,samsun_merkez,samsun,merkez,9967000,7349735.569,296,idare_konut,2004,10,%100,samsun merkez cobanli atakent 1 etap,siyah kalem muhinssanVe TicLtdsti
3,2004_sanliUrfa_halfeti,sanliUrfa_halfeti,sanliUrfa,halfeti,4995000,3683347.965,158,tarimkoy,2004,4,%100,sanliUrfa halfeti (Tarimkoy),asil inssanTicLtdsti
26,2004_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,1530000,1128232.71,,altyapi_sosyal,2004,8,%100,sanliurfa_akabe sosyal donati (ticaret merkezi. saglik ocagi. cami sub. sadirvan) ve Ring yolu,esha inssanVe TicLtdsti
60,2004_siirt_merkez,siirt_merkez,siirt,merkez,9475000,6986931.325,324,idare_konut,2004,4,%100,siirt merkez yagmurtepe 192 konut. kurtalan 132 konut  (Toplam 324 konut),garipoglu TurinsithihrVe TicLtdsti
67,2004_sirnak_merkez,sirnak_merkez,sirnak,merkez,6890000,5080734.23,220,idare_konut,2004,6,%100,sirnak merkez 2 etap 1 bolge,dogcan insTaahismakorjyedsanTicLtdsti
1,2004_sivas_merkez,sivas_merkez,sivas,merkez,8684350,6403900.48,384,alt_gelir,2004,10,%100,sivas merkez cayboyu mah 1 bolge,husamettin peker insaat
76,2004_Tokat_niksar,Tokat_niksar,Tokat,niksar,8360000,6164722.52,240,idare_konut,2004,10,%100,Tokat niksar ismetpasa,yildizlar ins Ve Ticas
448,2004_Usak_merkez,Usak_merkez,Usak,merkez,10875000,8019301.125,300,idare_konut,2004,10,%98,Usak merkez kuyucak,serel yapi ins
59,2004_Van_edremit,Van_edremit,Van,edremit,55943000,41252759.8,1688,idare_konut,2004,4,%100,Van edremit sarmansuyu,Ulusal insTaahsanVe TicLtdsti&amp; kalyon inssanVe Ticasortak girisimi
56,2004_Van_ercis,Van_ercis,Van,ercis,7380000,5442063.66,228,idare_konut,2004,4,%100,Van ercis,ozgunsan yapi prjmimsanTicLtdsti
10,2004_yozgat_merkez,yozgat_merkez,yozgat,merkez,25725000,18969795.08,492,konut_sosyal_donati,2004,11,%100,yozgat merkez 2 bolge  + sosyal donati  (ilkogretim(32). ticaret merkezi. cami sub. saglik ocagi),oz_kar ins Tic ve san as
450,2004_yozgat_merkez,yozgat_merkez,yozgat,merkez,9250000,6821014.75,228,idare_konut,2004,10,%98,yozgat merkez 1 bolge,can ins san Ve Tic as
27,2005_adana_aladag,adana_aladag,adana,aladag,12482062,9204359.893,308,konut_sosyal_donati,2005,8,%100,adana sofulu 2 bolge + sosyal donati (ilkogretim(24). saglik ocagi. ticaret merkezi. cami),cukurova inssanVe Ticas
18,2005_adana_seyhan,adana_seyhan,adana,seyhan,38035000,28047275.25,908,alt_gelir,2005,7,%100,adana seyhan,ekinciler Ve ort ins Ve Tic as &amp; dag yapi ins Teks sanVe Tic Ltd sti is ortakligi
594,2005_adana_seyhan,adana_seyhan,adana,seyhan,3599000,2653927.793,,altyapi_sosyal,2005,11,%91,adana seyhan sosyal donati (ilkogretim_32. ticaret merkezi. cami. sadirvan),ipek petrol urninsTurznakTicVe sanLtdsti
82,2005_adana_yuregir,adana_yuregir,adana,yuregir,37946000,27981646.02,888,alt_gelir,2005,10,%91,adana merkez yuregir aksantas + (ticaret. lise24. cami),yavuzlar nakTurinsTekssanVe Ticas
103,2005_adana_yuregir,adana_yuregir,adana,yuregir,6990000,5154474.93,212,idare_konut,2005,2,%100,adana merkez yuregir 1 bolge,on_ba ins nak Taah ith ihr san Ve Tic Ltd sti
454,2005_adana_yuregir,adana_yuregir,adana,yuregir,18889000,13928880.82,580,idare_konut,2005,3,%97,adana yuregir 2 bolge,kasva ins Ltd sti
458,2005_adana_yuregir,adana_yuregir,adana,yuregir,22140000,16326190.98,784,idare_konut,2005,,%91,adana sofulu 1 bolge,az_Uz insTicVe san Ltd sti&amp; oba Turz otelcilik insTic as is ortakligi
459,2005_adana_yuregir,adana_yuregir,adana,yuregir,11630000,8576043.41,336,idare_konut,2005,,%91,adana kargakekec 1 bolge,karatas insmakVe sanTicas
595,2005_adana_yuregir,adana_yuregir,adana,yuregir,1740000,1283088.18,,altyapi_sosyal,2005,12,%91,adana yuregir sosyal donati (ilkogretim(24). Ticaret merkezi),binsa insmedgida petrnak TemguvTic san Ltdsti
139,2005_adiyaman_besni,adiyaman_besni,adiyaman,besni,10830000,7986117.81,260,idare_konut,2005,10,%100,adiyaman besni pinarbasi 2 etap + sosyal donati (cami. ticaret merkezi) (64 konut alt gelir),karatas insmakVe sanTicas
113,2005_adiyaman_merkez,adiyaman_merkez,adiyaman,merkez,14480000,10677653.36,468,idare_konut,2005,4,%100,adiyaman merkez esentepe 1 bolge,guc_ar ins san Tic as &amp; sima insTaahsanVe TicLtdsti is ortakligi
114,2005_adiyaman_merkez,adiyaman_merkez,adiyaman,merkez,9449000,6967758.743,200,idare_konut,2005,5,%100,adiyaman merkez esentepe 2 bolge + sosyal donati (ilkogretim24. ticaret merkezi. cami. yemekhane. sadirvan),ilci inssan Ve Ticas &amp; md inselektsanTicLtdsti ortak girisimi
29,2005_afyonkarahisar_dinar,afyonkarahisar_dinar,afyonkarahisar,dinar,13930000,10272079.51,352,konut_sosyal_donati,2005,11,%100,afyonkarahisar dinar 1 etap konut + sosyal donati (ilkogretim16. ticaret merkezi. cami. sadirvan),saridglar insTicLtdsti
119,2005_aksaray_eskil,aksaray_eskil,aksaray,eskil,3888888,2867693.233,112,idare_konut,2005,5,%100,aksaray eskil,akay ins Tic Ltd sti
460,2005_aksaray_merkez,aksaray_merkez,aksaray,merkez,20700000,15264324.9,504,idare_konut,2005,10,%97,aksaray merkez + sosyal donati (ilkogretim24. ticaret merkezi. cami),eras insTurzsanVe Ticas
28,2005_amasya_suluova,amasya_suluova,amasya,suluova,11930747,8797816.353,264,konut_sosyal_donati,2005,,%100,amasya suluova konut + sosyal donati (ilkogretim24. cami. sadirvan),oz er_ka insTurzelekTaahTicVe sanLtd sti &amp; celikler ins asis ortakligi
20,2005_ankara_altindag,ankara_altindag,ankara,altindag,13416000,9893052.312,496,kentsel_donusum,2005,6,%100,ankara pursaklar_karacaoren mh protokol yolu (2 bolge),kalyon ins TicVe san as
22,2005_ankara_altindag,ankara_altindag,ankara,altindag,20275000,14950926.93,480,kentsel_donusum,2005,10,%100,ankara pursaklar_karacaoren mh protokol yolu 3 etap (480 konut) + sosyal donati (ilkogretim. lise. 2 spor salonu),nuhoglu inssanVe Ticas
37,2005_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,6600000,4866886.2,,altyapi_sosyal,2005,3,%100,ankara eryaman 6 etap 2 kisim sosyal donati (ilkogretim. spor s. anaokulu. ticaret. sosyal tesis) + 5 etap lise ve spor sl,Ulu insTurzTekssan Ve dis TicLtdsti
44,2005_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,8113958,5983289.427,,altyapi_sosyal,2005,5,%100,ankara eryaman 6_7 etaplar genel altyapi (asfalt. dogalgaz. elektrik) insaati,Tisan inssanVe TicLtdsti
96,2005_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,10525000,7761208.675,296,idare_konut,2005,1,%100,ankara eryaman 6 etap oyak ii kisim  (2 bolge),hukmu peker insTicVe sanas
140,2005_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,36960000,27254562.72,464,idare_konut,2005,10,%100,ankara etimesgut_erler + sosyal donati (ticaret merkezi. spor merkezi. kai otopark),mesa mesken san as
105,2005_ankara_polatli,ankara_polatli,ankara,polatli,7140000,5265085.98,210,idare_konut,2005,3,%100,ankara polatli Zafer mahallesi,akdemir ins ithihr mad Tic Ve sanLtdsti
24,2005_ankara_sereflikochisar,ankara_sereflikochisar,ankara,sereflikochisar,22114000,16307018.4,512,konut_sosyal_donati,2005,7,%100,ankara sereflikochisar + sosyal donati (ilkogretim 24. ticaret. kres. saglik ocagi. cami. sadirvan) (112 altgelir),Ve_na insTaahithihrsanVe TicLtdsti
13,2005_ankara_sincan,ankara_sincan,ankara,sincan,8993000,6631501.151,355,konut_sosyal_donati,2005,3,%100,ankara sincan yenikent  ortapinar 1 bolge + sosyal donati (saglikocagi. cami_sadirvan. kutuphane soyal tesis. yemekhane),nuhoglu inssanVe Ticas
14,2005_ankara_sincan,ankara_sincan,ankara,sincan,18436000,13594835.45,392,konut_sosyal_donati,2005,4,%100,ankara sincan yenikent ortapinar 2 bolge + sosyal donati (ilkogretim(24). lise(24). spor salonu. kres. ticaret merkezi. yemekhane),ozsinan ins Tur Tic san Ltd sti
38,2005_ankara_sincan,ankara_sincan,ankara,sincan,10699000,7889517.493,,altyapi_sosyal,2005,3,%100,ankara sincan yenikent ilksan sosyal donati (anaokulu. lise. ilkogretim. spor salonu. cami. saglik ocagi. ticaret merkezi),nuhoglu inssanVe Ticas
43,2005_ankara_sincan,ankara_sincan,ankara,sincan,5982475,4411518.942,,altyapi_sosyal,2005,4,%100,ankara sincan yenikent genel altyapi,Tisan inssanVe TicLtdsti
52,2005_ankara_sincan,ankara_sincan,ankara,sincan,838057,617989.0982,,altyapi_sosyal,2005,7,%100,ankara Temelli kanalizasyon desarj hatti ve icmesuyu insaati,elit proje musTaahTicLdtsti
16,2005_balikesir_manyas,balikesir_manyas,balikesir,manyas,12464791,9191624.137,252,konut_sosyal_donati,2005,4,%100,balikesir manyas 2etap kizik koyu (Ticaret merkezi. ilkogretim 24. cami. sadirvan. kutuphane),TeZ mim insTur Ve TicLtdsti
456,2005_balikesir_manyas,balikesir_manyas,balikesir,manyas,8112062,5981891.303,264,idare_konut,2005,3,%98,balikesir manyas kizik koyu 1etap,cakarlar ins Tic san Ltd sti
16,2005_balikesir_merkez,balikesir_merkez,balikesir,merkez,21707000,16006893.75,766,alt_gelir,2005,7,%100,balikesir merkez yenimahalle 1 etap (278 alt gelir grubuna),cakir yapi san Ve Tic as
17,2005_balikesir_merkez,balikesir_merkez,balikesir,merkez,17025000,12554354.18,480,alt_gelir,2005,7,%100,balikesir merkez yenimahelle  2 etap 480 konut (alt gelir grubuna)+ sosyal donati (ilkogretim. Lise. spor salonu. kres. cami. sadirvan),makek Termomekanik san as
98,2005_balikesir_merkez,balikesir_merkez,balikesir,merkez,21476000,15836552.73,496,idare_konut,2005,2,%100,balikesir merkez aysebaci mevki (2 bolge) + merkez sosyal donati (ticaret merkezi. camii. anaokulu),dag yapi insTekssanVe TicLtdsti
26,2005_bartin_merkez,bartin_merkez,bartin,merkez,17490000,12897248.43,492,alt_gelir,2005,12,%100,bartin merkez (192 alt gelir),yse insaat _ celikler ins ortak girisimi
6,2005_batman_merkez,batman_merkez,batman,merkez,4490000,3310957.43,196,tarimkoy,2005,10,%100,batman kuyubasi (Tarimkoy),ekn insaat gida Taah Tem san Tic Ltd sti
25,2005_bayburt_merkez,bayburt_merkez,bayburt,merkez,9775000,7208153.425,128,konut_sosyal_donati,2005,8,%100,bayburt merkez konut + sosyal donati (ilkogretim24. ticaret. cami. sadirvan. bekci kulubesi),bayburt ins nak san Ve Tic Ltd sti
138,2005_bilecik_merkez,bilecik_merkez,bilecik,merkez,13668000,10078878.88,250,idare_konut,2005,,%100,bilecik merkez 2 etap 2 bolge + sosyal donati (ilkogretim24. cami. sadirvan. ticaret merkezi),ser insVe TicLtdsti
146,2005_bingol_karliova,bingol_karliova,bingol,karliova,8130000,5995118.91,224,idare_konut,2005,10,%100,bingol karliova (afet),gul hasan ai insTicLtdsti
46,2005_bingol_merkez,bingol_merkez,bingol,merkez,440000,324459.08,,altyapi_sosyal,2005,6,%100,bingol Uydukent cami,oz akkuslar inssan Tic Ltdsti
48,2005_bitlis_merkez,bitlis_merkez,bitlis,merkez,1783000,1314796.681,,altyapi_sosyal,2005,6,%100,bitlis Rahva sosyal donati (ilkogretim16. saglik ocagi. ticaret merkez. cami subasmani. sadirvan),barsa ins Tic Ltd sti
593,2005_bitlis_merkez,bitlis_merkez,bitlis,merkez,7389000,5448700.323,,altyapi_sosyal,2005,11,%97,bitlis Rahva polis okulu. 500 kisilik yurt binasi.  1 adet mini futbol sahasi,on_ba ins nak Taah ith ihr san Ve Tic Ltd sti
26,2005_bolu_merkez,bolu_merkez,bolu,merkez,14600000,10766142.2,348,konut_sosyal_donati,2005,8,%100,bolu merkez kurkculer + sosyal donati (ilkogretim24. ticaret. cami. sadirvan),girisimciler insaat san TicLdtsti
30,2005_burdur_bucak,burdur_bucak,burdur,bucak,12947000,9547208.429,264,konut_sosyal_donati,2005,11,%100,burdur bucak konut + sosyal donati (ilkogretim24. ticaret merkezi. cami_sadirvan),iskar ins san Ve Tic as
9,2005_burdur_merkez,burdur_merkez,burdur,merkez,5053000,3726117.571,208,alt_gelir,2005,5,%100,burdur merkez (208 alt gelir),baki yapi malzinssanVe TicLtdsti
102,2005_burdur_merkez,burdur_merkez,burdur,merkez,7580000,5589545.06,224,idare_konut,2005,2,%100,burdur merkez  1 bolge,barsa ins Tic Ltd sti
455,2005_burdur_merkez,burdur_merkez,burdur,merkez,21243691,15665246.45,576,idare_konut,2005,3,%98,burdur merkez  2 bolge + sosyal donati ( ilkogretim 24. Ticaret merkezi. camii. sadirvan),bozoglu insTaahVe TicLtdsti
116,2005_bursa_nilufer,bursa_nilufer,bursa,nilufer,16900000,12462178.3,368,idare_konut,2005,5,%100,bursa nilufer kayapa + sosyal donati,Fuat celik ins Taah san
56,2005_bursa_orhangazi,bursa_orhangazi,bursa,orhangazi,398000,293487.986,,altyapi_sosyal,2005,8,%100,bursa orhangazi sosyal donati (cami. sadirvan. ticaret m. kutuphane),hayranogullari insTaahTic Ltdsti
145,2005_bursa_orhangazi,bursa_orhangazi,bursa,orhangazi,11739000,8656420.773,336,idare_konut,2005,10,%100,bursa orhangazi 2 etap konut + sosyal donati (252 alt gelir),ida insTaahTicLtdsti &amp; celikler TaahinsVe sanas is ortakligi
143,2005_bursa_yildirim,bursa_yildirim,bursa,yildirim,15474104,11410712.61,492,idare_konut,2005,10,%100,bursa merkez yildirim,begum yapi TurzTicVe sanLtdsti
462,2005_canakkale_biga,canakkale_biga,canakkale,biga,7400000,5456811.8,224,idare_konut,2005,11,%93,canakkale biga + ticaret merkezi,ozsahinler ins malz Taah Ve Tic Ltd sti
6,2005_corum_merkez,corum_merkez,corum,merkez,19499000,14378699.09,704,alt_gelir,2005,5,%100,corum merkez  2bolge (652 alt gelir),cagdan muhmutsanVe Ticas
50,2005_corum_merkez,corum_merkez,corum,merkez,5847754,4312174.734,,altyapi_sosyal,2005,6,%100,corum merkez sosyal donati (ilkogretim32. lise32. 2 bekci klb. 2 ticaret. 2 cami. 2 sad. saglik ocagi),alya muhinsmadTaahnaksanTicLtdsti
117,2005_corum_merkez,corum_merkez,corum,merkez,27499000,20277955.09,836,idare_konut,2005,5,%100,corum merkez 3 bolge,cagdan muhmutsanVe Ticas
122,2005_corum_merkez,corum_merkez,corum,merkez,9700000,7152847.9,296,idare_konut,2005,5,%100,corum merkez 1 bolge,saridaglar insTicLtdsti
296,2005_corum_sungurlu,corum_sungurlu,corum,sungurlu,7793000,5746612.751,256,konut_sosyal_donati,2005,8,%98,corum sungurlu konut (80 alt gelir) + sosyal donati (ticaret merkezi),Tasoglu insTaahithihrTicVe san Ltdsti &amp; Tas insTurzLtdstiis ortakligi
24,2005_denizli_kale,denizli_kale,denizli,kale,11861000,8746384.427,408,alt_gelir,2005,10,%100,denizli kale (344 konut alt gelir),serel yapi end Tic san Ltd sti
12,2005_denizli_pamukkale,denizli_pamukkale,denizli,pamukkale,5600000,4129479.2,256,kentsel_donusum,2005,2,%100,denizli merkez (aktepe) dokuzkavaklar 1 etap,ozgunsan yapi prjmimsanTicLtdsti
3,2005_diyarbakir_bismil,diyarbakir_bismil,diyarbakir,bismil,8421000,6209704.347,224,alt_gelir,2005,1,%100,diyarbakir bismil (224 alt gelir) sosyal donati ( ilkogretim okulu. ticaret merkezi. camii. sadirvan. kutuphane),akcadag insTaahVe TicLtdsti
147,2005_diyarbakir_ergani,diyarbakir_ergani,diyarbakir,ergani,25800000,19025100.6,560,idare_konut,2005,10,%100,diyarbakir ergani + sosyal donati (ilkogretim24. ticaret merkezi. cami) (128 konut alt gelir),altindag insTaahTicithihrLtdsti
134,2005_diyarbakir_merkez,diyarbakir_merkez,diyarbakir,merkez,16242000,11976964.49,484,idare_konut,2005,,%100,diyarbakir uckuyular 1 etap,altindag insTaahTicithihrLtdsti
12,2005_elazig_merkez,elazig_merkez,elazig,merkez,9995000,7370382.965,224,konut_sosyal_donati,2005,3,%100,elazig merkez 2 etap + sosyal donati (cami. sadirvan. kutuphane. ticaret),Ucuz ins san Ve TicLtdsti
40,2005_elazig_palu,elazig_palu,elazig,palu,3150000,2322832.05,,altyapi_sosyal,2005,3,%100,elazig palu sosyal donati (ilkogretim(24). ticaret merkezi. cami subasmani),soydam ins Taahsan Ve Tic Ltdsti
18,2005_erzincan_merkez,erzincan_merkez,erzincan,merkez,22288605,16435773.35,512,kentsel_donusum,2005,5,%100,erzincan carsi mah 2 etap (konut+ticaret+semt konagi),Tepe ins san as &amp; Tesan inssan Tic as is ortakligi
19,2005_erzincan_merkez,erzincan_merkez,erzincan,merkez,10079000,7432325.153,368,alt_gelir,2005,8,%100,erzincan merkez menguceli 2etap,omer osman kilinc insmadLdtsti
21,2005_erzincan_merkez,erzincan_merkez,erzincan,merkez,3049000,2248353.943,112,alt_gelir,2005,8,%100,erzincan merkez menguceli 3 etap,omer osman kilinc insmadLdtsti
57,2005_erzincan_merkez,erzincan_merkez,erzincan,merkez,1986211,1464645.895,,altyapi_sosyal,2005,,%100,erzincan carsi mah 24 derslikli ilkogretim okulu,Tavsanoglu ins Tur otm san Ve Tic as
109,2005_erzincan_merkez,erzincan_merkez,erzincan,merkez,12748000,9400464.436,368,kentsel_donusum,2005,5,%98,erzincan carsi mah 1 etap,ermit muhendislik ins san Ve Tic Ltd sti
150,2005_erzincan_Refahiye,erzincan_Refahiye,erzincan,Refahiye,3189209,2351745.041,84,idare_konut,2005,11,%100,erzincan Refahiye,insa ins Tic Ve san Ltd sti
136,2005_erzincan_uzumlu,erzincan_uzumlu,erzincan,uzumlu,10400000,7669032.8,372,idare_konut,2005,,%100,erzincan uzumlu (84 alt gelir),eryapi ins san ve Tic as
18,2005_erzurum_askale,erzurum_askale,erzurum,askale,1845000,1360515.915,45,afet_konutu,2005,2,%100,erzurum askale yenikoy,Zirve insaat TicLtdsti
